Year,Month,Temp
1960,1,33.17
1960,2,35.09
1960,3,34.79
1960,4,32.31
1960,5,31.8
1960,6,28.69
1960,7,27.52
1960,8,26.64
1960,9,26.23
1960,10,28.18
1960,11,29.55
1960,12,31.24
1961,1,32.51
1961,2,33.41
1961,3,34.85
1961,4,31.24
1961,5,31.71
1961,6,28.95
1961,7,26.54
1961,8,27.53
1961,9,27.53
1961,10,30.07
1961,11,32.53
1961,12,32.71
1962,1,33.04
1962,2,34.75
1962,3,34.95
1962,4,31.37
1962,5,30.82
1962,6,27.85
1962,7,26.55
1962,8,25.34
1962,9,26.23
1962,10,27.74
1962,11,28.49
1962,12,31.34
1963,1,32.93
1963,2,34.66
1963,3,33.49
1963,4,32.67
1963,5,30.37
1963,6,29.99
1963,7,27.19
1963,8,26.63
1963,9,27
1963,10,27.06
1963,11,29.71
1963,12,31.82
1964,1,33.11
1964,2,34.59
1964,3,34.49
1964,4,34.24
1964,5,30.84
1964,6,29.33
1964,7,27.99
1964,8,27.04
1964,9,26.11
1964,10,28.38
1964,11,31.36
1964,12,30.68
1965,1,31.77
1965,2,33.57
1965,3,35.03
1965,4,32.97
1965,5,30.01
1965,6,28.21
1965,7,26.74
1965,8,26.1
1965,9,27.05
1965,10,28.02
1965,11,30.95
1965,12,31.32
1966,1,32.75
1966,2,34.27
1966,3,34.8
1966,4,31.91
1966,5,30.73
1966,6,29.09
1966,7,27.95
nan,8,27.25
1966,9,27.14
1966,10,28.21
1966,11,31.33
1966,12,32.81
1967,1,32.06
1967,2,34.34
1967,3,33.2
1967,4,31.59
1967,5,30.35
1967,6,28.78
1967,7,26.75
1967,8,24.65
1967,9,25.31
1967,10,nan
1967,11,nan
1967,12,31.16
1968,1,32.45
1968,2,33.89
1968,3,32.58
1968,4,30.31
1968,5,29.48
1968,6,27.06
1968,7,25.88
1968,8,26.45
1968,9,26.25
1968,10,28.03
1968,11,29.24
1968,12,30.6
1969,1,32.5
1969,2,34.65
1969,3,34.3
1969,4,30.69
1969,5,30.95
1969,6,29
1969,7,25.79
1969,8,24.95
1969,9,26.31
1969,10,26.64
1969,11,29.11
1969,12,31.49
1970,1,32.33
1970,2,34.4
1970,3,33.97
1970,4,32.21
1970,5,29.21
1970,6,29.7
1970,7,27.01
1970,8,25.65
1970,9,25.53
1970,10,28.7
1970,11,31.17
1970,12,32.33
1971,1,32.52
1971,2,33.13
1971,3,31.52
1971,4,30.82
1971,5,29.6
1971,6,28.54
1971,7,25.95
1971,8,24.96
1971,9,25.66
1971,10,27.79
1971,11,30.38
1971,12,28.57
1972,1,32.21
1972,2,33.88
1972,3,32.8
1972,4,30.05
1972,5,28.89
1972,6,27.25
1972,7,27.16
1972,8,26.26
1972,9,26.81
1972,10,28.45
1972,11,31.55
1972,12,32.19
1973,1,32.88
1973,2,34.65
1973,3,33.58
1973,4,32.42
1973,5,31.95
1973,6,28.76
1973,7,27.17
1973,8,25.83
1973,9,26.82
1973,10,28.55
1973,11,31.87
1973,12,32.25
1974,1,32.48
1974,2,34.4
1974,3,32.05
1974,nan,31.96
1974,5,31.38
1974,6,29.07
1974,7,27.32
1974,8,26.12
1974,9,26.16
1974,10,27.56
1974,11,29.98
1974,12,31.11
1975,1,31.89
1975,2,33.18
1975,3,33.42
1975,4,30.8
1975,5,29.76
1975,6,28.44
1975,7,25.87
1975,8,26.11
1975,9,25.69
1975,10,28.32
1975,11,31.46
1975,12,32.27
1976,1,32.27
1976,2,31.89
1976,3,33.58
1976,4,32.61
1976,5,29.69
1976,6,27
1976,7,26.45
1976,8,26.44
1976,9,26.94
1976,10,26.37
1976,11,28.66
1976,12,31.75
1977,1,32.53
1977,2,34.63
1977,3,35.89
1977,4,33.85
1977,5,31.57
1977,6,28.27
1977,7,26.9
1977,8,25.76
1977,9,26.09
1977,10,28.33
1977,11,32.17
1977,12,32.18
1978,1,33.82
1978,2,34.43
1978,3,32.65
1978,4,30.38
1978,5,30.37
1978,6,27.61
1978,7,26.4
1978,8,26.92
1978,9,27.06
1978,10,27.79
1978,11,31.36
1978,12,32.62
1979,1,34.47
1979,2,35.38
1979,3,33.84
1979,4,32.42
1979,5,29.23
1979,6,26.91
1979,7,25.82
1979,8,26.09
1979,9,26.9
1979,10,27.75
1979,11,29.09
1979,12,31.28
1980,1,32.22
1980,2,33.78
1980,3,34.42
1980,4,33.55
1980,5,30.13
1980,6,27.66
1980,7,25.68
1980,8,25.51
1980,9,26.71
1980,10,27.56
1980,11,29
1980,12,30
1981,1,32.33
1981,2,34.67
1981,3,33
1981,4,31.7
1981,5,30.01
1981,6,29.82
1981,7,25.36
1981,8,25.67
1981,9,26.82
1981,10,30.06
1981,11,33.42
1981,12,34.04
1982,1,33.32
1982,2,33.53
1982,3,32.73
1982,4,30.4
1982,5,29.96
1982,6,29.4
1982,7,26.99
1982,8,25.98
1982,9,27.15
1982,10,29.06
1982,11,31.65
1982,12,32.87
1983,1,32.36
1983,2,34.95
1983,3,36.93
1983,4,33.74
1983,5,31.61
1983,6,28.76
1983,7,27.74
1983,8,26.99
1983,9,27.4
1983,10,31.22
1983,11,33.12
1983,12,33.06
1984,1,34.3
1984,2,35.45
1984,3,33.23
1984,4,32.52
1984,5,30.86
